prompt_group,n_prompt_ids,n_annotations,n_models,n_edges,n_possible_edges,n_supported_triangles,models,edges,supported_triangles
000494cd98ae43f58b0d57732a37e66a,1,4,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
000616d1471540e4935f6c60ecc06aeb,1,7,4,2,6,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""gpt-4-turbo-2024-04-09""], [""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
00117e5830704b6a8d448a6400e3cf8e,1,8,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
001bd0f875844ce3baf583c77eabb6cd,1,3,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
002c49539bf447c3b7ab317189abaadc,1,3,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
002c495da91c44d2af6768c4dd513387,1,5,3,2,3,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""], [""allenai/tulu-2-70b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
002d55ff6d5a49eea1bb13954a6dc41b,1,4,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
003effee7ba64f6faba7afdc5c91a2ee,1,1,2,1,1,0,"[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]","[[""gpt-4-turbo-2024-04-09"", ""meta-llama/Llama-2-70b-chat-hf""]]",[]
004418f37f1845bea2fa2884ef201504,1,3,2,1,1,0,"[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]","[[""allenai/tulu-2-70b"", ""allenai/tulu-2-7b""]]",[]
004cfbd578a540ed9e5601e9b3d3d8fe,1,4,2,1,1,0,"[""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]","[[""allenai/tulu-2-7b"", ""meta-llama/Meta-Llama-3-70B-Instruct""]]",[]
