row_index,status,n_opening_models,unique_winner,conversation_type
0,ok,2,True,unguided
1,ok,4,True,unguided
2,ok,4,True,controversy guided
3,ok,4,True,unguided
4,ok,4,False,unguided
5,ok,4,True,controversy guided
6,ok,4,True,unguided
7,ok,4,True,values guided
8,ok,4,True,unguided
9,ok,4,True,unguided
10,ok,4,True,unguided
11,ok,4,True,values guided
12,ok,4,True,unguided
13,ok,4,True,unguided
14,ok,4,True,controversy guided
15,ok,4,True,unguided
16,ok,4,True,values guided
17,ok,4,True,values guided
18,ok,4,True,values guided
19,ok,3,True,controversy guided
20,ok,4,True,values guided
21,ok,4,False,unguided
22,ok,3,True,values guided
23,ok,3,True,unguided
24,ok,3,True,unguided
25,ok,3,True,controversy guided
26,ok,3,True,values guided
27,ok,4,True,values guided
28,ok,4,True,values guided
29,ok,4,True,controversy guided
30,ok,4,True,values guided
31,ok,4,True,unguided
32,ok,3,True,unguided
33,ok,4,True,unguided
34,ok,4,True,controversy guided
35,ok,4,True,controversy guided
36,ok,4,True,controversy guided
37,ok,4,True,controversy guided
38,ok,4,True,controversy guided
39,ok,4,True,controversy guided
40,ok,4,False,unguided
41,ok,4,True,values guided
42,ok,4,True,unguided
43,ok,4,False,values guided
44,ok,3,True,controversy guided
45,ok,4,True,values guided
46,ok,4,True,values guided
47,ok,3,True,controversy guided
48,ok,4,False,unguided
49,ok,3,True,controversy guided
50,ok,4,True,values guided
51,ok,4,True,controversy guided
52,ok,4,True,values guided
53,ok,2,True,controversy guided
54,ok,3,True,unguided
55,ok,4,True,values guided
56,ok,4,True,unguided
57,ok,3,True,unguided
58,ok,4,True,unguided
59,ok,3,True,values guided
60,ok,3,True,unguided
61,ok,3,True,controversy guided
62,ok,3,True,controversy guided
63,ok,2,True,controversy guided
64,ok,4,True,unguided
65,ok,3,True,controversy guided
66,ok,4,True,values guided
67,ok,4,True,unguided
68,ok,4,True,values guided
69,ok,4,True,values guided
70,ok,3,True,controversy guided
71,ok,2,True,unguided
72,ok,4,True,values guided
73,ok,3,True,controversy guided
74,ok,3,True,controversy guided
75,ok,4,True,unguided
76,ok,4,True,unguided
77,ok,4,True,controversy guided
78,ok,4,True,values guided
79,ok,4,True,unguided
80,ok,4,True,values guided
81,ok,3,True,controversy guided
82,ok,4,True,unguided
83,ok,4,True,unguided
84,ok,4,True,values guided
85,ok,3,True,unguided
86,ok,4,True,values guided
87,ok,4,True,unguided
88,ok,4,True,values guided
89,ok,2,True,unguided
90,ok,4,True,unguided
91,ok,4,True,values guided
92,ok,4,True,controversy guided
93,ok,4,False,unguided
94,ok,4,True,unguided
95,ok,4,False,controversy guided
96,ok,4,True,values guided
97,ok,4,True,unguided
98,ok,4,True,unguided
99,ok,4,True,controversy guided
100,ok,4,True,values guided
101,ok,3,True,unguided
102,ok,4,True,controversy guided
103,ok,4,True,values guided
104,ok,3,True,controversy guided
105,ok,4,True,values guided
106,ok,4,True,unguided
107,ok,4,True,unguided
108,ok,4,True,unguided
109,ok,3,True,unguided
110,ok,4,True,unguided
111,ok,4,True,unguided
112,ok,4,True,unguided
113,ok,4,True,controversy guided
114,ok,4,True,unguided
115,ok,4,True,unguided
116,ok,4,True,unguided
117,ok,4,True,controversy guided
118,ok,4,True,values guided
119,ok,4,True,values guided
120,ok,4,True,unguided
121,ok,4,True,unguided
122,ok,4,True,unguided
123,ok,4,True,unguided
124,ok,4,True,values guided
125,ok,4,True,unguided
126,ok,4,True,unguided
127,ok,4,True,values guided
128,ok,4,True,unguided
129,ok,4,False,unguided
130,ok,4,True,unguided
131,ok,4,True,unguided
132,ok,4,True,values guided
133,ok,4,True,controversy guided
134,ok,4,True,controversy guided
135,ok,4,True,unguided
136,ok,3,True,unguided
137,ok,4,True,unguided
138,ok,4,True,unguided
139,ok,4,True,values guided
140,ok,4,True,unguided
141,ok,4,True,unguided
142,ok,4,True,values guided
143,ok,4,True,values guided
144,ok,4,True,controversy guided
145,ok,4,True,values guided
146,ok,2,True,unguided
147,ok,4,True,values guided
148,ok,4,True,unguided
149,ok,4,False,controversy guided
150,ok,4,True,controversy guided
151,ok,4,True,unguided
152,ok,4,True,values guided
153,ok,4,True,values guided
154,ok,4,True,unguided
155,ok,3,True,controversy guided
156,ok,4,True,values guided
157,ok,4,True,values guided
158,ok,4,True,unguided
159,ok,4,True,controversy guided
160,ok,4,True,values guided
161,ok,4,True,values guided
162,ok,4,True,unguided
163,ok,4,True,unguided
164,ok,3,True,unguided
165,ok,4,True,unguided
166,ok,3,True,controversy guided
167,ok,3,True,unguided
168,ok,4,True,controversy guided
169,ok,4,True,unguided
170,ok,3,True,controversy guided
171,ok,4,True,values guided
172,ok,4,True,values guided
173,ok,4,True,unguided
174,ok,4,True,values guided
175,ok,4,True,unguided
176,ok,3,True,controversy guided
177,ok,4,False,values guided
178,ok,4,True,unguided
179,ok,4,True,controversy guided
180,ok,2,True,controversy guided
181,ok,4,True,unguided
182,ok,4,True,values guided
183,ok,4,True,values guided
184,ok,3,True,controversy guided
185,ok,4,True,values guided
186,ok,4,True,unguided
187,ok,4,True,values guided
188,ok,4,True,values guided
189,ok,4,True,controversy guided
190,ok,4,True,unguided
191,ok,4,True,controversy guided
192,ok,4,True,values guided
193,ok,4,False,unguided
194,ok,4,True,values guided
195,ok,4,True,controversy guided
196,ok,4,True,controversy guided
197,ok,4,True,controversy guided
198,ok,2,True,values guided
199,ok,4,True,unguided
200,ok,4,True,values guided
201,ok,4,True,values guided
202,ok,4,True,values guided
203,ok,3,True,controversy guided
204,ok,4,True,unguided
205,ok,4,True,unguided
206,ok,3,True,controversy guided
207,ok,4,True,controversy guided
208,ok,3,True,controversy guided
209,ok,4,False,controversy guided
210,ok,4,True,unguided
211,ok,4,True,unguided
212,ok,4,True,controversy guided
213,ok,4,True,values guided
214,ok,4,True,values guided
215,ok,4,True,controversy guided
216,ok,4,True,values guided
217,ok,4,True,unguided
218,ok,3,True,values guided
219,ok,4,True,unguided
220,ok,4,True,unguided
221,ok,4,True,unguided
222,ok,4,True,controversy guided
223,ok,4,True,values guided
224,ok,4,True,values guided
225,ok,4,True,values guided
226,ok,4,True,unguided
227,ok,4,True,controversy guided
228,ok,4,True,controversy guided
229,ok,4,True,unguided
230,ok,4,True,controversy guided
231,ok,4,True,unguided
232,ok,4,True,controversy guided
233,ok,4,True,unguided
234,ok,4,True,values guided
235,ok,4,True,unguided
236,ok,4,True,controversy guided
237,ok,4,True,controversy guided
238,ok,4,True,controversy guided
239,ok,4,True,values guided
240,ok,4,True,unguided
241,ok,4,True,unguided
242,ok,4,True,unguided
243,ok,4,True,values guided
244,ok,4,True,controversy guided
245,ok,3,True,controversy guided
246,ok,4,True,values guided
247,ok,4,True,values guided
248,ok,4,True,unguided
249,ok,4,True,unguided
250,ok,3,True,controversy guided
251,ok,4,True,unguided
252,ok,4,True,unguided
253,ok,3,True,controversy guided
254,ok,4,True,values guided
255,ok,4,False,values guided
256,ok,4,True,unguided
257,ok,3,True,values guided
258,ok,3,True,unguided
259,ok,4,True,controversy guided
260,ok,4,True,controversy guided
261,ok,4,True,values guided
262,ok,4,True,unguided
263,ok,4,False,unguided
264,ok,4,True,controversy guided
265,ok,4,True,unguided
266,ok,4,True,unguided
267,ok,4,True,controversy guided
268,ok,4,True,controversy guided
269,ok,4,True,controversy guided
270,ok,4,True,values guided
271,ok,4,False,controversy guided
272,ok,4,True,values guided
273,ok,4,True,values guided
274,ok,4,True,values guided
275,ok,4,True,unguided
276,ok,4,True,controversy guided
277,ok,4,True,unguided
278,ok,4,True,values guided
279,ok,4,True,values guided
280,ok,4,True,controversy guided
281,ok,4,True,unguided
282,ok,4,True,controversy guided
283,ok,4,True,unguided
284,ok,4,True,unguided
285,ok,4,True,controversy guided
286,ok,3,True,unguided
287,ok,4,True,unguided
288,ok,4,True,controversy guided
289,ok,4,True,values guided
290,ok,4,True,values guided
291,ok,4,True,controversy guided
292,ok,4,True,unguided
293,ok,4,True,unguided
294,ok,4,True,unguided
295,ok,4,False,unguided
296,ok,4,True,controversy guided
297,ok,4,True,controversy guided
298,ok,4,True,values guided
299,ok,4,True,unguided
300,ok,4,True,unguided
301,ok,4,True,values guided
302,ok,4,True,unguided
303,ok,4,True,controversy guided
304,ok,4,True,values guided
305,ok,4,True,controversy guided
306,ok,3,True,unguided
307,ok,4,True,values guided
308,ok,4,False,unguided
309,ok,4,True,controversy guided
310,ok,4,True,controversy guided
311,ok,4,True,values guided
312,ok,4,True,unguided
313,ok,4,True,controversy guided
314,ok,4,True,values guided
315,ok,4,True,controversy guided
316,ok,4,True,values guided
317,ok,3,True,controversy guided
318,ok,4,True,unguided
319,ok,4,True,controversy guided
320,ok,4,True,controversy guided
321,ok,4,True,unguided
322,ok,4,True,unguided
323,ok,4,True,unguided
324,ok,4,True,values guided
325,ok,4,True,controversy guided
326,ok,4,True,values guided
327,ok,4,True,unguided
328,ok,4,True,unguided
329,ok,4,True,values guided
330,ok,3,True,controversy guided
331,ok,4,True,unguided
332,ok,3,False,values guided
333,ok,4,True,controversy guided
334,ok,4,True,values guided
335,ok,4,True,controversy guided
336,ok,4,True,unguided
337,ok,4,True,controversy guided
338,ok,4,True,values guided
339,ok,4,True,unguided
340,ok,4,True,controversy guided
341,ok,4,True,values guided
342,ok,4,True,values guided
343,ok,4,True,unguided
344,ok,4,True,values guided
345,ok,4,True,unguided
346,ok,4,True,controversy guided
347,ok,4,False,values guided
348,ok,4,True,controversy guided
349,ok,4,True,values guided
350,ok,4,True,controversy guided
351,ok,3,True,values guided
352,ok,4,True,controversy guided
353,ok,4,True,unguided
354,ok,4,False,unguided
355,ok,3,True,unguided
356,ok,4,True,controversy guided
357,ok,4,True,unguided
358,ok,4,True,controversy guided
359,ok,4,True,unguided
360,ok,3,True,controversy guided
361,ok,4,True,unguided
362,ok,4,True,controversy guided
363,ok,4,False,unguided
364,ok,4,True,controversy guided
365,ok,3,True,values guided
366,ok,3,True,unguided
367,ok,4,True,values guided
368,ok,4,True,unguided
369,ok,4,True,unguided
370,ok,4,True,controversy guided
371,ok,4,False,values guided
372,ok,4,True,values guided
373,ok,4,True,unguided
374,ok,4,True,values guided
375,ok,4,True,controversy guided
376,ok,4,True,values guided
377,ok,4,True,values guided
378,ok,4,True,unguided
379,ok,4,True,values guided
380,ok,4,True,controversy guided
381,ok,4,True,unguided
382,ok,4,True,values guided
383,ok,4,True,values guided
384,ok,4,True,values guided
385,ok,3,True,values guided
386,ok,4,True,unguided
387,ok,2,True,values guided
388,ok,3,True,unguided
389,ok,4,True,values guided
390,ok,4,True,controversy guided
391,ok,4,True,values guided
392,ok,4,True,values guided
393,ok,4,True,values guided
394,ok,4,False,unguided
395,ok,4,True,values guided
396,ok,4,True,unguided
397,ok,4,True,controversy guided
398,ok,4,True,controversy guided
399,ok,2,True,controversy guided
400,ok,4,True,unguided
401,ok,4,True,values guided
402,ok,3,True,unguided
403,ok,4,True,controversy guided
404,ok,3,True,controversy guided
405,ok,4,True,values guided
406,ok,4,True,unguided
407,ok,4,True,controversy guided
408,ok,3,True,unguided
409,ok,4,True,unguided
410,ok,4,True,values guided
411,ok,4,True,values guided
412,ok,4,True,controversy guided
413,ok,4,True,controversy guided
414,ok,3,True,controversy guided
415,ok,4,True,values guided
416,ok,4,False,unguided
417,ok,4,True,values guided
418,ok,4,True,controversy guided
419,ok,4,False,unguided
420,ok,3,True,controversy guided
421,ok,4,True,controversy guided
422,ok,4,True,values guided
423,ok,4,True,values guided
424,ok,4,True,unguided
425,ok,4,True,values guided
426,ok,4,True,unguided
427,ok,4,True,values guided
428,ok,4,True,controversy guided
429,ok,3,True,controversy guided
430,ok,4,True,values guided
431,ok,3,True,controversy guided
432,ok,4,True,controversy guided
433,ok,4,True,unguided
434,ok,3,True,controversy guided
435,ok,4,True,controversy guided
436,ok,4,True,unguided
437,ok,4,True,controversy guided
438,ok,4,True,controversy guided
439,ok,4,True,unguided
440,ok,4,True,unguided
441,ok,4,True,controversy guided
442,ok,4,True,unguided
443,ok,4,True,controversy guided
444,ok,4,True,values guided
445,ok,4,True,controversy guided
446,ok,4,True,controversy guided
447,ok,4,True,controversy guided
448,ok,4,True,controversy guided
449,ok,4,True,unguided
450,ok,3,True,unguided
451,ok,4,True,controversy guided
452,ok,3,True,unguided
453,ok,4,True,unguided
454,ok,4,True,unguided
455,ok,4,True,unguided
456,ok,4,True,values guided
457,ok,4,True,unguided
458,ok,3,True,controversy guided
459,ok,4,True,values guided
460,ok,4,True,unguided
461,ok,4,True,unguided
462,ok,4,True,values guided
463,ok,3,True,unguided
464,ok,4,True,values guided
465,ok,4,True,values guided
466,ok,4,True,values guided
467,ok,4,True,unguided
468,ok,3,True,values guided
469,ok,4,True,controversy guided
470,ok,4,True,values guided
471,ok,4,True,values guided
472,too_few_models,1,,
473,ok,3,True,unguided
474,ok,4,True,values guided
475,ok,4,True,values guided
476,ok,4,True,unguided
477,too_few_models,1,,
478,ok,3,True,controversy guided
479,ok,4,True,unguided
480,ok,4,True,values guided
481,ok,4,True,values guided
482,ok,4,True,unguided
483,ok,4,True,values guided
484,ok,3,True,values guided
485,ok,3,True,unguided
486,ok,4,True,controversy guided
487,ok,4,True,values guided
488,ok,4,True,unguided
489,ok,4,True,unguided
490,ok,4,True,controversy guided
491,ok,4,True,values guided
492,ok,2,True,unguided
493,ok,4,True,controversy guided
494,ok,4,True,values guided
495,ok,4,True,controversy guided
496,ok,4,True,unguided
497,ok,4,True,unguided
498,ok,4,True,values guided
499,ok,4,True,controversy guided
500,ok,4,True,unguided
501,ok,3,True,values guided
502,ok,4,True,unguided
503,ok,4,True,values guided
504,ok,4,True,controversy guided
505,ok,4,True,controversy guided
506,ok,4,True,values guided
507,ok,3,True,values guided
508,ok,4,True,unguided
509,ok,3,True,controversy guided
510,ok,3,True,values guided
511,ok,4,True,controversy guided
512,ok,4,True,values guided
513,ok,4,True,controversy guided
514,ok,4,True,controversy guided
515,ok,4,True,values guided
516,ok,4,True,unguided
517,ok,4,True,unguided
518,ok,4,True,controversy guided
519,ok,4,True,controversy guided
520,ok,4,True,controversy guided
521,ok,4,True,unguided
522,ok,4,True,controversy guided
523,ok,4,False,unguided
524,ok,4,True,controversy guided
525,ok,4,True,controversy guided
526,ok,4,True,unguided
527,ok,4,True,unguided
528,ok,4,True,controversy guided
529,ok,4,True,controversy guided
530,ok,4,True,values guided
531,ok,3,True,values guided
532,ok,4,True,values guided
533,ok,4,True,values guided
534,ok,4,True,unguided
535,ok,4,True,values guided
536,ok,3,True,controversy guided
537,ok,4,True,unguided
538,ok,4,True,controversy guided
539,ok,4,True,unguided
540,ok,3,True,controversy guided
541,ok,4,True,controversy guided
542,ok,4,True,controversy guided
543,ok,4,True,unguided
544,ok,4,True,values guided
545,ok,3,True,controversy guided
546,ok,4,True,unguided
547,ok,3,True,controversy guided
548,ok,4,True,controversy guided
549,ok,4,True,unguided
550,ok,4,True,unguided
551,ok,4,True,controversy guided
552,ok,3,True,values guided
553,ok,4,True,values guided
554,ok,4,True,unguided
555,ok,4,True,values guided
556,ok,4,True,values guided
557,ok,4,True,values guided
558,ok,4,False,unguided
559,ok,4,True,controversy guided
560,ok,4,True,controversy guided
561,ok,4,True,values guided
562,ok,4,True,controversy guided
563,ok,4,True,unguided
564,ok,3,True,values guided
565,ok,4,True,controversy guided
566,ok,4,True,values guided
567,ok,3,True,values guided
568,ok,4,True,values guided
569,ok,4,True,values guided
570,ok,4,True,controversy guided
571,ok,3,True,unguided
572,ok,4,True,unguided
573,ok,4,True,unguided
574,ok,4,False,unguided
575,ok,4,False,unguided
576,ok,4,True,unguided
577,ok,4,True,unguided
578,ok,4,True,unguided
579,ok,4,True,values guided
580,ok,4,True,values guided
581,ok,3,True,unguided
582,ok,4,True,values guided
583,ok,4,True,values guided
584,ok,4,True,values guided
585,ok,4,True,controversy guided
586,ok,3,True,unguided
587,ok,4,True,controversy guided
588,ok,4,True,unguided
589,ok,4,True,unguided
590,ok,4,False,unguided
591,ok,4,True,controversy guided
592,ok,4,True,unguided
593,ok,4,True,unguided
594,ok,4,True,unguided
595,ok,4,True,controversy guided
596,ok,4,True,unguided
597,ok,4,True,unguided
598,ok,4,True,unguided
599,ok,4,True,unguided
600,ok,3,True,values guided
601,ok,4,True,unguided
602,ok,4,True,unguided
603,ok,4,True,controversy guided
604,ok,4,True,unguided
605,ok,4,True,values guided
606,ok,4,True,unguided
607,ok,4,True,unguided
608,ok,4,True,values guided
609,ok,4,True,unguided
610,ok,4,True,unguided
611,ok,4,True,unguided
612,ok,4,True,unguided
613,ok,4,True,unguided
614,ok,4,True,unguided
615,ok,4,True,values guided
616,ok,4,True,unguided
617,ok,4,True,unguided
618,ok,4,False,unguided
619,ok,4,True,values guided
620,ok,4,True,values guided
621,ok,3,True,values guided
622,ok,4,True,unguided
623,ok,4,True,unguided
624,ok,4,True,unguided
625,ok,4,True,controversy guided
626,ok,4,False,unguided
627,ok,4,True,unguided
628,ok,4,True,values guided
629,ok,4,True,values guided
630,ok,4,True,unguided
631,ok,4,True,controversy guided
632,ok,3,True,values guided
633,ok,3,True,controversy guided
634,ok,2,True,unguided
635,ok,4,True,controversy guided
636,ok,4,True,values guided
637,ok,4,True,unguided
638,ok,3,True,values guided
639,ok,4,True,unguided
640,ok,4,True,controversy guided
641,ok,4,True,values guided
642,ok,4,True,unguided
643,ok,4,True,values guided
644,ok,4,True,values guided
645,ok,4,True,values guided
646,ok,4,True,controversy guided
647,ok,4,True,unguided
648,ok,3,True,unguided
649,ok,4,True,values guided
650,ok,4,True,controversy guided
651,ok,4,True,values guided
652,ok,4,True,values guided
653,ok,4,True,values guided
654,ok,4,True,values guided
655,ok,3,True,unguided
656,ok,4,False,unguided
657,ok,4,True,controversy guided
658,ok,4,True,unguided
659,ok,3,True,values guided
660,ok,4,True,values guided
661,ok,4,False,values guided
662,ok,4,True,controversy guided
663,ok,4,True,controversy guided
664,ok,4,True,values guided
665,ok,4,True,unguided
666,ok,4,True,controversy guided
667,ok,4,True,values guided
668,ok,4,True,controversy guided
669,ok,3,True,unguided
670,ok,4,True,values guided
671,ok,3,True,controversy guided
672,ok,3,True,controversy guided
673,ok,4,True,values guided
674,ok,4,True,values guided
675,ok,4,True,values guided
676,ok,4,True,unguided
677,ok,4,True,controversy guided
678,ok,4,True,controversy guided
679,ok,3,True,unguided
680,ok,4,True,unguided
681,ok,4,True,controversy guided
682,ok,3,True,unguided
683,ok,4,True,values guided
684,ok,4,True,unguided
685,ok,4,True,controversy guided
686,ok,4,True,controversy guided
687,ok,4,True,values guided
688,ok,4,True,values guided
689,ok,4,True,values guided
690,ok,4,True,unguided
691,ok,4,False,unguided
692,ok,4,True,unguided
693,ok,4,True,controversy guided
694,ok,4,True,unguided
695,ok,4,True,values guided
696,ok,4,True,controversy guided
697,ok,4,True,values guided
698,ok,4,True,unguided
699,ok,4,True,values guided
700,ok,4,True,controversy guided
701,ok,4,True,unguided
