scope,group,prompt_id,aspect,i,j,k,m_ij,m_jk,m_ki,intensity,orientation
global,evaluator=optimistic_newton,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
global,evaluator=naughty_jones,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=agitated_pasteur,ALL,harmless,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=affectionate_dubinsky,ALL,harmless,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=cool_kalam,ALL,truthful,allenai/tulu-2-70b,gpt-3.5-turbo-0125,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=cool_kalam,ALL,truthful,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=peaceful_golick,ALL,harmless,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
global,evaluator=mystifying_nobel,ALL,harmless,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=dreamy_torvalds,ALL,harmless,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-4-turbo-2024-04-09,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=elegant_ride,ALL,truthful,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=loving_mccarthy,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=festive_ardinghelli,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,gpt-3.5-turbo-0125,1.0,1.0,1.0,1.0,forward
global,evaluator=modest_mirzakhani,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
global,evaluator=modest_mirzakhani,ALL,truthful,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=elastic_brahmagupta,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Llama-2-70b-chat-hf,-1.0,-1.0,-1.0,1.0,reverse
global,evaluator=loving_mccarthy,ALL,truthful,allenai/tulu-2-7b,gpt-3.5-turbo-0125,gpt-4-turbo-2024-04-09,1.0,1.0,1.0,1.0,forward
global,evaluator=youthful_spence,ALL,truthful,allenai/tulu-2-70b,allenai/tulu-2-7b,meta-llama/Meta-Llama-3-70B-Instruct,1.0,1.0,1.0,1.0,forward
global,evaluator=hungry_minsky,ALL,truthful,allenai/tulu-2-70b,gpt-4-turbo-2024-04-09,meta-llama/Llama-2-70b-chat-hf,1.0,1.0,1.0,1.0,forward
